"","id","cat_id","style_name"
"101",101,8,"American-Style Ice Lager"
"102",102,8,"American-Style Malt Liquor"
"103",103,8,"American-Style Amber Lager"
"104",104,8,"American-Style Marzen/Oktoberfest"
"105",105,8,"American-Style Dark Lager"
"106",106,9,"Baltic-Style Porter"
"107",107,9,"Australasian-Style Light Lager"
"108",108,9,"Latin American-Style Light Lager"
"109",109,9,"Tropical-Style Light Lager"
"110",110,10,"International-Style Pilsener"
"111",111,10,"Dry Lager"
"112",112,11,"Session Beer"
"113",113,11,"American-Style Cream Ale or Lager"
"114",114,11,"California Common Beer"
"115",115,11,"Japanese Sake-Yeast Beer"
"116",116,11,"Light American Wheat Ale or Lager"
"117",117,11,"Fruit Wheat Ale or Lager"
"118",118,11,"Dark American Wheat Ale or Lager"
"119",119,11,"American Rye Ale or Lager"
"120",120,11,"German-Style Rye Ale"
"121",121,11,"Fruit Beer"
"122",122,11,"Field Beer"
"123",123,11,"Pumpkin Beer"
"124",124,11,"Chocolate/Cocoa-Flavored Beer"
"125",125,11,"Coffee-Flavored Beer"
"126",126,11,"Herb and Spice Beer"
"127",127,11,"Specialty Beer"
"128",128,11,"Specialty Honey Lager or Ale"
"129",129,11,"Gluten-Free Beer"
"130",130,11,"Smoke Beer"
"131",131,11,"Experimental Beer"
"132",132,11,"Out of Category"
"133",133,11,"Wood- and Barrel-Aged Beer"
"134",134,11,"Wood- and Barrel-Aged Pale to Amber Beer"
"135",135,11,"Wood- and Barrel-Aged Dark Beer"
"136",136,11,"Wood- and Barrel-Aged Strong Beer"
"137",137,11,"Wood- and Barrel-Aged Sour Beer"
"138",138,11,"Aged Beer"
"139",139,11,"Other Strong Ale or Lager"
"140",140,11,"Non-Alcoholic Beer"
"141",141,11,"Winter Warmer"
